hour,inventory_time,inventory_tx,cm inv,unique_tx,unique_fp,unique_fn,tp_inv,tn_inv,fp_inv,fn_inv,fn_index_inv,fn_expiry_inv,FPR inv,FNR inv,Accuracy % inv,Reprocess % inv,total_tx,cm total,entry_tx,cm entry,added_tx,tp_entry,tn_entry,fp_entry,fn_entry,fn_index_entry,fn_expiry_entry,FPR Entry,FNR Entry,Accuracy % Entry,Reprocess % Entry,exit_tx,cm exit,exited_tx,block_tx,non_block,tp_exit,tn_exit,fp_exit,fn_exit,fn_index_exit,fn_expiry_exit,fn_index,fn_expiry,FPR Exit,FNR Exit,Accuracy % Exit,Reprocess % Exit,FPR,FNR,Accuracy %,Reprocess %,current_mempool_tx,shadow_mempool.size(),shadow size in bytes
1,3600,1457,1457,1029,0,937,0,164,0,1293,0,937,0,0.88744,100,88.744,145491,144034,144034,144034,144034,0,143558,0,476,0,476,0,0.00330478,100,0.330478,0,0,0,0,0,0,0,0,0,0,0,0,1413,-nan,-nan,-nan,-nan,0,0.0121588,100,1.21588,1,143558,2.45717e+07
2,7200,3186,1729,1565,0,4,1654,69,0,6,0,4,0,0.00347021,100,0.347021,83987,226292,82258,226292,81672,586,81654,0,18,0,18,0,0.000218824,100,0.0218824,0,0,0,0,0,0,0,0,0,0,0,0,22,-nan,-nan,-nan,-nan,0,0.000285759,100,0.0285759,81673,225212,3.89901e+07
3,10800,5071,1885,1625,0,36,1632,161,0,92,0,36,0,0.0488064,100,4.88064,73083,297490,71198,297490,70972,226,70895,0,77,0,77,0,0.00108149,100,0.108149,0,0,0,0,0,0,0,0,0,0,0,0,113,-nan,-nan,-nan,-nan,0,0.00231244,100,0.231244,152645,296107,5.17491e+07
4,14400,6715,1644,1486,0,0,1539,105,0,0,0,0,0,0,100,0,76396,372242,74752,372242,74556,196,74467,0,89,0,89,0,0.0011906,100,0.11906,0,0,0,0,0,0,0,0,0,0,0,0,89,-nan,-nan,-nan,-nan,0,0.00116498,100,0.116498,227201,370574,6.51641e+07
5,18000,9135,2420,2212,0,0,1972,448,0,0,0,0,0,0,100,0,68511,438333,66091,438333,65813,278,65771,0,42,0,42,0,0.000635487,100,0.0635487,0,0,0,0,0,0,0,0,0,0,0,0,42,-nan,-nan,-nan,-nan,0,0.00061304,100,0.061304,293014,436345,7.7543e+07
6,21600,11318,2183,1898,0,0,2061,122,0,0,0,0,0,0,100,0,68936,505086,66753,505086,66410,336,66366,7,44,0,44,0.000104864,0.000659146,99.9895,0.0659146,0,0,0,0,0,0,0,0,0,0,0,0,44,-nan,-nan,-nan,-nan,0.000101543,0.000638273,99.6793,0.0638273,359424,502718,8.98512e+07
7,25200,14044,2726,2440,0,1,2111,613,0,2,0,1,0,0.000733676,100,0.0733676,68026,570386,65300,570386,64990,300,64958,10,32,0,32,0.000153139,0.000490046,99.9847,0.0490046,0,0,0,0,0,0,0,0,0,0,0,0,33,-nan,-nan,-nan,-nan,0.000147003,0.000499809,99.6332,0.0499809,424414,567686,1.02276e+08
8,28800,17726,3682,3058,0,42,3321,314,0,47,0,42,0,0.0127648,100,1.27648,74173,640877,70491,640877,69851,612,69820,28,31,0,31,0.000397214,0.000439772,99.9603,0.0439772,0,0,0,0,0,0,0,0,0,0,0,0,73,-nan,-nan,-nan,-nan,0.000377496,0.0010516,99.2395,0.10516,494265,637534,1.16091e+08
9,32400,20536,2810,2448,0,0,2469,341,0,0,0,0,0,0,100,0,59673,697740,56863,697740,56488,332,56448,43,40,0,40,0.000756203,0.000703445,99.9244,0.0703445,0,0,0,0,0,0,0,0,0,0,0,0,40,-nan,-nan,-nan,-nan,0.000720594,0.00067032,98.4697,0.067032,550753,694025,1.26038e+08
10,36000,23585,3049,2633,0,0,2565,484,0,0,0,0,0,0,100,0,56998,751689,53949,751689,53582,291,53546,76,36,0,36,0.00140874,0.000667297,99.8591,0.0667297,0,0,0,0,0,0,0,0,0,0,0,0,36,-nan,-nan,-nan,-nan,0.00133338,0.000631601,97.5074,0.0631601,604335,747647,1.35987e+08
